,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
60290,Hello Ninja,"When Wesley puts his hands together, bows to his reflection and says the words, ""Hello, Ninja"" his surroundings instantly transform into an enchanting Ninja world.",2019,TV-Y,13,"['animation', 'action', 'comedy', 'family', 'fantasy']",4.0,6.7,119.0,Lukas Engel,,ACTOR
60320,The Good Detective,"A drama about the race between people who want to get closer to the truth and those who want to cover it up. Jang Seung Jo will take on the role of Oh Ji Hyuk, an elite detective of nine years who does not share his feelings with others due to pain he experienced when he was young. He is not swayed by money and power, even with the huge wealth he inherited from his uncle.",2020,TV-MA,65,"['crime', 'drama']",1.0,,,Son Hyeon-ju,Kang Do Chang,ACTOR
60365,Stay Tuned!,"She's the most unlikely candidate to ever stumble into the role of a reporter, and she’s keeping everyone on their toes with her eccentric ways.",2019,TV-14,46,['comedy'],1.0,7.5,343.0,Kyoko Yoshine,Hanako Yukimaru,ACTOR
60389,Chief of Staff,"As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.",2019,,62,['war'],2.0,,,Lee Jung-jae,Jang Tae-Joon,ACTOR
60572,Sintonia,"Told through three different characters' perspectives, the story of Sintonia explores the interconnection of the music, drug traffic, and religion in São Paulo. In the quest to be somebody, many paths will converge.",2019,TV-MA,44,"['crime', 'drama', 'music']",2.0,6.7,1067.0,M.C. Jottapê,Doni,ACTOR
60730,The Writer,"When accused of a murder eerily parallel to a plot in his novel, a best-selling crime writer must navigate a web of hidden enemies.",2019,TV-14,34,"['drama', 'crime']",1.0,8.2,30.0,Daniella Rahme,Majdaline,ACTOR
60758,Korean Pork Belly Rhapsody,A love letter to pork belly -- a perennial favorite among Koreans of every generation -- unfolds with an exploration of its history and cooking methods.,2020,,48,['documentation'],1.0,7.7,62.0,Baek Jong-won,Self,ACTOR
60847,Chico Bon Bon: Monkey with a Tool Belt,STEM children's series focusing on construction and how mechanical things work.,2020,,14,[],4.0,,,Blu Bishop,Dr. Merv,ACTOR
60991,The Queen and the Conqueror,"This is the story of Catalina, the indigenous woman who gave away her soul, her heart and her life to a conqueror. ""The Queen and the Conqueror"" rebuilds one of the first love stories that took place in America, between an indigenous woman and a Spaniard. After establishing the city of Cartagena, Pedro de Heredia, motivated by the need to save his brother, betrays Catalina. Heartbroken, she escapes, only to come back 18 years later, as a grown woman. In her soul, her only mission is: revenge. To end Pedro de Heredia's life, the same way that he, after making her fall for him, ended hers.",2020,TV-14,46,"['history', 'drama']",1.0,6.6,172.0,Emmanuel Esparza,Pedro de Heredia,ACTOR
61215,El Final del Paraíso,Catalina Santana's new mission will force her to face demons that threaten to destroy her and her family.,2019,TV-MA,50,"['action', 'drama']",1.0,5.1,208.0,Carmen Villalobos,Catalina Santana,ACTOR
61221,Typewriter,"Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home's buried past resurfaces in chilling ways.",2019,TV-MA,50,"['thriller', 'horror', 'drama']",1.0,6.5,3788.0,Mikhail Gandhi,Gablu,ACTOR
61236,Southern Survival,"The BattlBox crew tests out products designed to help people survive dangerous situations, including explosions, natural disasters and intruders.",2020,,30,['reality'],1.0,5.1,454.0,Brandon Currin,Himself,ACTOR
61360,How To Ruin Christmas,Prodigal daughter Tumi tries to make things right after completely ruining what should have been her sister's picture-perfect Christmas wedding.,2020,TV-MA,50,"['drama', 'comedy']",2.0,6.1,488.0,Busi Lurayi,Tumi Sello,ACTOR
61371,Trigger Warning with Killer Mike,"In this funny and provocative series, rapper and activists Killer Mike puts his revolutionary ideas about achieving social change into action.",2019,TV-MA,26,"['documentation', 'comedy']",1.0,6.9,1249.0,Killer Mike,Himself,ACTOR
61372,Nadiya's Time to Eat,Nadiya Hussain’s Time To Eat promises recipes that can be cooked in a hurry but have buckets of flavour.,2019,,29,['reality'],1.0,,,Nadiya Hussain,,ACTOR
61383,Masaba Masaba,"Real life mom-daughter duo Neena and Masaba Gupta play versions of themselves in this playful, fictional peek into their lives in fashion and film.",2020,TV-MA,31,"['comedy', 'drama']",2.0,6.8,1746.0,Masaba Gupta,Herself,ACTOR
61598,The Good Bandit,"""The Good Bandit"" introduces the new narco-comedy genre that, for the first time, presents a drug lord who repents of the choices he has made, willing to change his life away from the crimes and sins of his past. This story will show the funny situations that a bandit, who wants to learn how to be good, must confront. His path to redemption will be complicated as he will have to make a huge effort to get away from the temptations that the world brings outside of the law.",2019,,53,"['drama', 'comedy', 'crime']",1.0,7.8,99.0,Diego Vásquez,"Emilio de Jesús ""El Crespo"" Ortega Rangel",ACTOR
61633,Three Days of Christmas,"Four sisters celebrate Christmas in their family home at 3 different times in their lives: teen-hood, adulthood and elderly age.",2019,,58,['drama'],1.0,6.8,1243.0,Victoria Abril,María,ACTOR
61638,Dollar,"Tarek is given the task to come up with a million-dollar idea for the launch of a new bank. An idea strikes him, but he will only reveal it to the CEO, making Zeina, the CEO's assistant played by Bouchoucha, suspicious.",2019,,28,"['drama', 'romance', 'action']",1.0,6.6,592.0,Adel Karam,Tariq,ACTOR
61684,Handsome Siblings,"The story of twin brothers who separated at birth but grew up to be supreme martial artists. Raised to take revenge on each other they soon find themselves becoming good friends. Together they vow to take the martial arts world by storm and search for their true identities. Jiang Xiao Yu, better known as Xiao Yu Er, was raised by the Ten Great Villains in the Villains' Valley. He think he's the top villain in the jianghu. He's learned many tricks over the years and becomes a mischevious prankster, though his heart is kind. He meets Hua Wu Que, who he doesn't know is actually his twin brother. Hua Wu Que grew up in Yi Hua Palace under the care of Princess Yao Yue. Princess Yao Yue had a one-sided love for his father, Jiang Feng, and wanted to take revenge on him. Thus, she separated the twins at birth and raised them with the hopes they would be enemies and fight each other to death. Separately, Jiang Bie He, who was once the servant to Jiang Feng, teams up with Jiang Yu Lang in a conspiracy that might ruin the entire jianghu. Hua Wu Que and Xiao Yu Er team up together to try and take him down. (Source: Drama Wiki) Edit Translation",2020,,45,"['fantasy', 'romance', 'action', 'comedy', 'drama']",1.0,7.9,614.0,Chen Zheyuan,Jiang Xiao Yu /  Xiao Yu Er,ACTOR
61696,Bard of Blood,"Political espionage thriller based on ""Bard of Blood,"" by Bilal Siddiqi.",2019,TV-MA,45,"['action', 'drama', 'thriller']",2.0,6.8,13210.0,Emraan Hashmi,Kabir Anand,ACTOR
61701,Find Yourself,"A determined entrepreneur navigates a love triangle between a young charmer and an older executive, leading her down an unconventional path to love.",2020,TV-14,45,"['drama', 'romance']",1.0,7.6,201.0,Victoria Song,He Fanxing,ACTOR
61743,Archibald's Next Big Thing,The adventures of a care-free Chicken named Archibald.,2019,TV-Y7,24,"['scifi', 'animation', 'comedy', 'family', 'fantasy', 'action']",2.0,7.5,284.0,Tony Hale,Archibald (voice),ACTOR
61782,Prank Encounters,takes two complete strangers who each think they're starting their first day at a new job. It's business as usual until their paths collide and these part-time jobs turn into full-time nightmares.,2019,TV-MA,25,"['comedy', 'horror', 'reality', 'scifi']",2.0,5.2,2615.0,Gaten Matarazzo,Self - Host,ACTOR
